mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-14.071437,0.000000,-3.432315,-2.862408,8,3331,True
1,-13.095490,0.000000,-3.432316,-2.862409,10,3329,True
2,-13.268687,0.000000,-3.432315,-2.862408,9,3330,True
3,-13.627999,0.000000,-3.432315,-2.862408,8,3331,True
4,-8.368655,0.000000,-3.432321,-2.862411,19,3320,True
5,-10.040103,0.000000,-3.432319,-2.862410,16,3323,True
6,-14.273104,0.000000,-3.432315,-2.862408,8,3331,True
7,-11.186255,0.000000,-3.432319,-2.862410,15,3324,True
8,-10.931858,0.000000,-3.432317,-2.862409,12,3327,True
9,-11.671951,0.000000,-3.432322,-2.862411,21,3318,True
10,-11.831247,0.000000,-3.432318,-2.862409,13,3326,True
11,-10.837868,0.000000,-3.432318,-2.862409,13,3326,True
12,-11.206785,0.000000,-3.432317,-2.862409,12,3327,True
13,-9.520080,0.000000,-3.432317,-2.862409,12,3327,True
14,-11.038342,0.000000,-3.432317,-2.862409,12,3327,True
15,-11.959230,0.000000,-3.432316,-2.862409,11,3328,True
16,-10.172505,0.000000,-3.432318,-2.862409,13,3326,True
17,-11.333085,0.000000,-3.432316,-2.862409,11,3328,True
18,-10.130526,0.000000,-3.432317,-2.862409,12,3327,True
